time,Price,Volume
12/12/2008,81.650002,248745
15/12/2008,86.949997,257341
16/12/2008,91.75,408849
17/12/2008,83.199997,299599
18/12/2008,82.650002,189516
19/12/2008,85.699997,103680
22/12/2008,79.650002,126277
23/12/2008,73.449997,320830
24/12/2008,73.449997,158130
26/12/2008,72.400002,79667
29/12/2008,73.699997,140283
30/12/2008,70.849998,135952
31/12/2008,70.199997,208312
1/1/2009,73.300003,489844
2/1/2009,86,642848
5/1/2009,89.800003,291208
6/1/2009,92.199997,202207
7/1/2009,73.800003,198480
9/1/2009,59.75,503492
12/1/2009,54.900002,385923
13/01/2009,45.700001,0
14/01/2009,45.650002,945064
15/01/2009,42,511534
16/01/2009,43.950001,402729
19/01/2009,43.650002,238681
20/01/2009,41,187500
21/01/2009,37.450001,206792
22/01/2009,41.200001,489591
23/01/2009,44.950001,635873
27/01/2009,40.450001,181537
28/01/2009,38.950001,270546
29/01/2009,40.150002,154473
30/01/2009,39.450001,81295
2/2/2009,38.900002,42654
3/2/2009,36.900002,86756
4/2/2009,34.400002,287329
5/2/2009,33.599998,99200
6/2/2009,34.549999,129620
9/2/2009,34.75,88004
10/2/2009,36,109986
11/2/2009,37.5,109186
12/2/2009,38.549999,145255
13/02/2009,39.400002,2240112
16/02/2009,37.200001,111845
17/02/2009,35,72033
18/02/2009,34.25,83183
19/02/2009,34.25,68846
20/02/2009,33.650002,58040
24/02/2009,32.049999,71491
25/02/2009,31.35,80834
26/02/2009,30,85730
27/02/2009,29.950001,35113
2/3/2009,27.549999,106377
3/3/2009,26.299999,81569
4/3/2009,26.299999,87738
5/3/2009,25.450001,0
6/3/2009,24.1,102116
9/3/2009,21.799999,163085
12/3/2009,22.85,107850
13/03/2009,23.450001,126890
16/03/2009,25.4,349397
17/03/2009,25.549999,515087
18/03/2009,25.75,277071
19/03/2009,26.5,394602
20/03/2009,28.299999,516808
23/03/2009,28.6,622872
24/03/2009,26.75,425976
25/03/2009,26.5,287621
26/03/2009,26.700001,116996
27/03/2009,26.25,165947
30/03/2009,29.700001,1079461
31/03/2009,31.799999,1616160
1/4/2009,34.200001,1078313
2/4/2009,36.549999,921021
6/4/2009,34.900002,623043
8/4/2009,41.900002,0
9/4/2009,46.099998,1226750
13/04/2009,50.75,644608
15/04/2009,55.849998,682575
16/04/2009,50.900002,1568030
17/04/2009,47.599998,946732
20/04/2009,46.049999,511681
21/04/2009,50.700001,1811192
22/04/2009,51.549999,759456
23/04/2009,52.950001,838625
24/04/2009,53,427318
27/04/2009,48.099998,518209
28/04/2009,43.799999,367837
29/04/2009,45.849998,464811
4/5/2009,47.900002,586854
5/5/2009,49.950001,616528
6/5/2009,47.25,540117
7/5/2009,51.349998,488817
8/5/2009,53.299999,1324817
11/5/2009,51.450001,504465
12/5/2009,52.799999,1403437
13/05/2009,50.650002,605218
14/05/2009,50.549999,362703
15/05/2009,50.200001,479075
18/05/2009,56.849998,4920
19/05/2009,54.900002,1136271
20/05/2009,63.75,1895002
21/05/2009,69.75,1643780
22/05/2009,68.150002,990318
25/05/2009,72.349998,912626
26/05/2009,79.800003,0
27/05/2009,81.099998,909146
28/05/2009,81.400002,752276
29/05/2009,79.699997,675681
1/6/2009,79.599998,537484
2/6/2009,74.5,866341
3/6/2009,78.150002,963223
4/6/2009,81.199997,1661997
5/6/2009,77.300003,825711
8/6/2009,75.449997,808050
9/6/2009,82.050003,1178418
10/6/2009,82.599998,2002954
11/6/2009,83.5,1575169
12/6/2009,77.650002,756739
15/06/2009,73.599998,371745
